Data used in the analysis.  Please note that blank fields indicate that data were not provided in the original publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,marine,,adult,,,,,enzymes: U/g tissue; metabolic rate = MR: umol/g/h; locomotion: BL/s,,,,,,acclimatization temps for terrestrial or large animals = mean body temperatures,,variation as s.e.,,,,,,,,,,,,,,,,,,,,,,
Mollusca,Gastropoda,Calyptraeoidea,Calyptraeidae,Crepidula,fornicata,,,,,,,m,w,a,"Limfjord, Denmark",56.942778,56.942778,9.075,1,50,1.698970004,MR,aquatic routine,10,15,62.2,5.5,6,95.5,5,6,27.5,6.5,6,61.7,11.7,6,,,,,,,,,ul/g/h,,"Newell, R. C. and L. H. Kofoed (1977). ""ADJUSTMENT OF COMPONENTS OF ENERGY-BALANCE IN GASTROPOD CREPIDULA-FORNICATA IN RESPONSE TO THERMAL ACCLIMATION."" Marine Biology 44(3): 275-286.",Excluded mollusca due to shell
Mollusca,Gastropoda,Calyptraeoidea,Calyptraeidae,Crepidula,fornicata,,,,,,,m,w,a,"Limfjord, Denmark",56.942778,56.942778,9.075,1,50,1.698970004,MR,aquatic routine,10,20,62.2,5.5,6,119.1,6.5,6,20,6.4,6,71.76,6.8,6,,,,,,,,,ul/g/h,,"Newell, R. C. and L. H. Kofoed (1977). ""ADJUSTMENT OF COMPONENTS OF ENERGY-BALANCE IN GASTROPOD CREPIDULA-FORNICATA IN RESPONSE TO THERMAL ACCLIMATION."" Marine Biology 44(3): 275-286.",Excluded mollusca due to shell
Mollusca,Gastropoda,,Limacidae,Limax,maximus,,,,,,,t,,a,,,,,1,32,1.505149978,MR,rest,5,15,23,10,25,52,9,25,18,9,25,54,9,25,,,,,,,,,ul/g/h,introduced species,"Rising, T. L. and K. B. Armitage (1969). ""ACCLIMATION TO TEMPERATURE BY TERRESTRIAL GASTROPODS, LIMAX MAXIMUS AND PHILOMYCUS CAROLINIANUS - OXYGEN CONSUMPTION AND TEMPERATURE PREFEERENCE."" Comparative Biochemistry and Physiology 30(6): 1091-&.",Excluded mollusca due to shell
Mollusca,Gastropoda,,Limacidae,Limax,maximus,,,,,,,t,,a,,,,,1,32,1.505149978,MR,rest,5,25,23,10,25,99,9.5,25,22,9,25,83,8.5,25,,,,,,,,,ul/g/h,,"Rising, T. L. and K. B. Armitage (1969). ""ACCLIMATION TO TEMPERATURE BY TERRESTRIAL GASTROPODS, LIMAX MAXIMUS AND PHILOMYCUS CAROLINIANUS - OXYGEN CONSUMPTION AND TEMPERATURE PREFEERENCE."" Comparative Biochemistry and Physiology 30(6): 1091-&.",Excluded mollusca due to shell
Mollusca,Gastropoda,,Limacidae,Limax,maximus,,,,,,,t,,a,,,,,1,32,1.505149978,MR,rest,15,25,54,9,25,83,8.5,25,53,9,25,83,8.5,25,,,,,,,,,ul/g/h,,"Rising, T. L. and K. B. Armitage (1969). ""ACCLIMATION TO TEMPERATURE BY TERRESTRIAL GASTROPODS, LIMAX MAXIMUS AND PHILOMYCUS CAROLINIANUS - OXYGEN CONSUMPTION AND TEMPERATURE PREFEERENCE."" Comparative Biochemistry and Physiology 30(6): 1091-&.",Excluded mollusca due to shell
Mollusca,Gastropoda,,Philomycidae,Philomycus ,carolinianus,,,,,,,t,,a,,,,,1,32,1.505149978,MR,rest,5,15,9,6,25,38,6,25,14,6,25,41,6,25,,,,,,,,,ul/g/h,,"Rising, T. L. and K. B. Armitage (1969). ""ACCLIMATION TO TEMPERATURE BY TERRESTRIAL GASTROPODS, LIMAX MAXIMUS AND PHILOMYCUS CAROLINIANUS - OXYGEN CONSUMPTION AND TEMPERATURE PREFEERENCE."" Comparative Biochemistry and Physiology 30(6): 1091-&.",Excluded mollusca due to shell
Mollusca,Gastropoda,,Philomycidae,Philomycus ,carolinianus,,,,,,,t,,a,,,,,1,32,1.505149978,MR,rest,5,25,9,6,25,85,6.5,25,15,6,25,93,6,25,,,,,,,,,ul/g/h,,"Rising, T. L. and K. B. Armitage (1969). ""ACCLIMATION TO TEMPERATURE BY TERRESTRIAL GASTROPODS, LIMAX MAXIMUS AND PHILOMYCUS CAROLINIANUS - OXYGEN CONSUMPTION AND TEMPERATURE PREFEERENCE."" Comparative Biochemistry and Physiology 30(6): 1091-&.",Excluded mollusca due to shell
Mollusca,Gastropoda,,Philomycidae,Philomycus ,carolinianus,,,,,,,t,,a,,,,,1,32,1.505149978,MR,rest,15,25,41,6,25,104,7,25,43,6,25,93,6,25,,,,,,,,,ul/g/h,,"Rising, T. L. and K. B. Armitage (1969). ""ACCLIMATION TO TEMPERATURE BY TERRESTRIAL GASTROPODS, LIMAX MAXIMUS AND PHILOMYCUS CAROLINIANUS - OXYGEN CONSUMPTION AND TEMPERATURE PREFEERENCE."" Comparative Biochemistry and Physiology 30(6): 1091-&.",Excluded mollusca due to shell
Mollusca,Gastropoda,Patellogatropoda,Nacellidae,Cellana,tramoserica,,,,,,,m,w,a,"Peral Beach, Australia",33.55,33.55,151.3,2,,,MR,rest,15,20,13,1,20,28.5,1,20,8,1,20,27.5,3,20,,,,,,,,,"dry mass, open habitat",,"Sinclair et al 2006 J Exp Mar Biol Ecol 335, 131-141",Excluded mollusca due to shell
Mollusca,Gastropoda,Patellogatropoda,Nacellidae,Cellana,tramoserica,,,,,,,m,w,a,"Peral Beach, Australia",33.55,33.55,151.3,2,,,MR,rest,15,20,15,2,20,43,5,20,10,1.5,20,33,4,20,,,,,,,,,"dry mass, sheltered habitat",,"Sinclair et al 2006 J Exp Mar Biol Ecol 335, 131-142",Excluded mollusca due to shell
Mollusca,Gastropoda,Patellogatropoda,Nacellidae,Cellana,tramoserica,,,,,,,m,w,a,"Peral Beach, Australia",33.55,33.55,151.3,2,,,COX,muscle ,15,20,0.98,0.18,10,1.24,1,10,0.89,0.18,10,0.99,0.08,10,,,,,,,,,open habitat,,"Sinclair et al 2006 J Exp Mar Biol Ecol 335, 131-143",Excluded mollusca due to shell
Mollusca,Gastropoda,Patellogatropoda,Nacellidae,Cellana,tramoserica,,,,,,,m,w,a,"Peral Beach, Australia",33.55,33.55,151.3,2,,,COX,muscle ,15,20,1.71,0.25,10,1.4,0.15,10,1.23,0.23,10,1.33,0.12,10,,,,,,,,,sheltered habitat,,"Sinclair et al 2006 J Exp Mar Biol Ecol 335, 131-144",Excluded mollusca due to shell
Mollusca,Gastropoda,Patellogatropoda,Nacellidae,Cellana,tramoserica,,,,,,,m,w,a,"Peral Beach, Australia",33.55,33.55,151.3,2,,,LDH,muscle ,15,20,13.8,1.8,10,16.3,1.8,10,10.6,1,10,13,0.7,10,,,,,,,,,"open habitat, includes ADH and TDH",,"Sinclair et al 2006 J Exp Mar Biol Ecol 335, 131-145",Excluded mollusca due to shell
Mollusca,Gastropoda,Patellogatropoda,Nacellidae,Cellana,tramoserica,,,,,,,m,w,a,"Peral Beach, Australia",33.55,33.55,151.3,2,,,LDH,muscle ,15,20,9.8,1.1,10,10.8,1.1,10,11.1,1.1,10,12,1.2,10,,,,,,,,,"sheltered habitat, includes ADH and TDH",,"Sinclair et al 2006 J Exp Mar Biol Ecol 335, 131-146",Excluded mollusca due to shell
Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,saxatilis,,,,,,,m,w,a,"Kandalaksha Bay, White Sea, Russia",66.35,66.35,33.65,1,42,1.62324929,MR,rest,4,13,1.8,0.1,11,4.4,0.2,11,0.95,0.1,11,4.9,0.1,10,,,,,,,,,,,"Sokolova and Portner 2003 JEB 206, 195-207",Excluded mollusca due to shell
Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,saxatilis,,,,,,,m,w,a,"Helgoland, Germany",54.15,54.15,7.9,1,42,1.62324929,MR,rest,4,13,2.2,0.2,11,4.8,0.2,11,1.3,0.05,11,3.8,0.2,11,,,,,,,,,,,"Sokolova and Portner 2003 JEB 206, 195-208",Excluded mollusca due to shell
Mollusca,Gastropoda,Vetigastropoda,Haliotidae,Haliotis,midae,,,,,,,m,c,a,"Gaansbai, South Africa",34.6,34.6,19.35,1,30,1.477121255,MR,rest,16,22,1.74,0.18,,,,,,,,2.46,0.18,,,,,,,,,,,,"Vosloo adn Vosloo 2010 J Therm Biol 35, 317-323",Excluded mollusca due to shell
Mollusca,Mollusca,Calyptraeoidea,Calyptraeidae,Crepidula,fornicata,,,,,,,m,w,a,"Limfjord, Denmark",56.942778,56.942778,9.075,1,50,1.698970004,MR,aquatic routine,10,25,62.2,5.5,6,155,12.5,6,,,,75.3,10,6,,,,,,,,,ul/g/h,,"Newell, R. C. and L. H. Kofoed (1977). ""ADJUSTMENT OF COMPONENTS OF ENERGY-BALANCE IN GASTROPOD CREPIDULA-FORNICATA IN RESPONSE TO THERMAL ACCLIMATION."" Marine Biology 44(3): 275-286.",Excluded mollusca due to shell
Mollusca ,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,,,,,,,f,w,a,"Lake Erie, Ohio river",42.2,42.2,-81.2,1,14,1.146128036,MR,rest,10,18,0.65,0.01,10,,,,,,,0.8,0.03,10,,,,,,,,,ul/mg/h,,"Alexander, J. E., et al. (1994). ""TURBIDITY AND TEMPERATURE EFFECTS ON OXYGEN-CONSUMPTION IN THE ZEBRA MUSSEL (DREISSENA-POLYMORPHA)."" Canadian Journal of Fisheries and Aquatic Sciences 51(1): 179-184.",Excluded mollusca due to shell
Mollusca ,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,,,,,,,f,w,a,"Lake Erie, Ohio river",42.2,42.2,-81.2,1,14,1.146128036,MR,rest,18,26,0.8,0.03,10,,,,,,,1.75,0.12,10,,,,,,,,,ul/mg/h,,"Alexander, J. E., et al. (1994). ""TURBIDITY AND TEMPERATURE EFFECTS ON OXYGEN-CONSUMPTION IN THE ZEBRA MUSSEL (DREISSENA-POLYMORPHA)."" Canadian Journal of Fisheries and Aquatic Sciences 51(1): 179-184.",Excluded mollusca due to shell
Mollusca ,Bivalvia,Veneroida,Dreissenidae,Dreissena,polymorpha,,,,,,,f,w,a,"Lake Erie, Ohio river",42.2,42.2,-81.2,1,14,1.146128036,MR,rest,10,26,0.65,0.01,10,,,,,,,1.75,0.12,10,,,,,,,,,ul/mg/h,,"Alexander, J. E., et al. (1994). ""TURBIDITY AND TEMPERATURE EFFECTS ON OXYGEN-CONSUMPTION IN THE ZEBRA MUSSEL (DREISSENA-POLYMORPHA)."" Canadian Journal of Fisheries and Aquatic Sciences 51(1): 179-184.",Excluded mollusca due to shell
Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,megalotis,Lepomis megalotis,0.026000000,26.000000000,1.414973348,in situ,"Dent and Lutterschmidt 2003 J Therm Biol 28, 67-75",f,w,a,"Texas, USA",30.61,30.61,95.53,1,14,1.146128036,MR,SMR,10,30,131.2,12.34,6,,,,,,,187.67,25.73,10,,,,,,,,,,,"Dent and Lutterschmidt 2003 J Therm Biol 28, 67-75",Ratio
Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,Lepomis macrochirus,0.033000000,33.000000000,1.518513940,in situ,"Dent and Lutterschmidt 2003 J Therm Biol 28, 67-75",f,w,a,"Texas, USA",30.61,30.61,95.53,1,14,1.146128036,MR,SMR,10,30,73.92,4.17,2,,,,,,,223.4,25.48,10,,,,,,,,,,,"Dent and Lutterschmidt 2003 J Therm Biol 28, 67-74",Ratio
Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,japonicus,Scomber japonicus,0.098750000,98.750000000,1.994537104,in situ,"Dickson et al 2002 JEB 205, 969-980",m,w,a,"Fullerton CA, USA",33.85,33.85,117.7,1,14,1.146128036,MR,SMR,18,24,3.95,2.1,12,,,,,,,4.47,2.51,12,,,,,,,,,,,"Dickson et al 2002 JEB 205, 969-980",Ratio
Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,japonicus,Scomber japonicus,0.098750000,98.750000000,1.994537104,in situ,"Dickson et al 2002 JEB 205, 969-980",m,w,a,"Fullerton CA, USA",33.85,33.85,117.7,1,14,1.146128036,swim,sustained,18,24,3.503388692,0.165852023,12,,,,,,,4.721899377,0.197347361,10,,,,,,,,,,,"Dickson et al 2002 JEB 205, 969-981",Ratio
Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,multiplicata,Eurycea multiplicata,0.000630000,0.630000000,-0.200659451,in situ,"Brown, A. V. and L. C. Fitzpatrick (1981). ""THERMAL-ACCLIMATION AND METABOLISM IN THE GRAY-BELLIED SALAMANDER, EURYCEA-MULTIPLICATA-GRISEOGASTER (PLETHODONTIDAE)."" Comparative Biochemistry and Physiology a-Physiology 69(3): 505-509.",f,w,a,"Fayetteville, Arkansas",36.07638,36.07638,-94.16,1,14,1.146128036,MR,rest,10,20,14.8,0.38,15,,,,,,,46.5,1.13,15,,,,,,,,,confounded temp. and body mass,,"Brown, A. V. and L. C. Fitzpatrick (1981). ""THERMAL-ACCLIMATION AND METABOLISM IN THE GRAY-BELLIED SALAMANDER, EURYCEA-MULTIPLICATA-GRISEOGASTER (PLETHODONTIDAE)."" Comparative Biochemistry and Physiology a-Physiology 69(3): 505-509.",Ratio
Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,elongatus,Clinostomus elongatus,0.004400000,4.400000000,0.643452676,in situ,"Novinger and Coon 2000 Env Biol Fish 57, 315-326",f,w,a,"Cattaraugus Co, NY USA",42.24,42.24,78.68,1,14,1.146128036,MR,rest,6,20,0.068,0.01,16,,,,,,,0.227,0.01,31,,,,,,,,,,,"Novinger and Coon 2000 Env Biol Fish 57, 315-326",Ratio
Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,labrax,Dicentrarchus labrax,0.147000000,147.000000000,2.167317335,in situ,"Claireaux et al 2006 JEB 209, 3420-3428",m,c,j,"Ile de Re, France",46.2,46.2,1.6,1,18,1.255272505,MR,SMR,7,30,1.38,0.32,,,,,,,,4.72,0.26,,,,,,,,,,,,"Claireaux et al 2006 JEB 209, 3420-3428",Ratio
Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,labrax,Dicentrarchus labrax,0.147000000,147.000000000,2.167317335,in situ,"Claireaux et al 2006 JEB 209, 3420-3428",m,c,j,"Ile de Re, France",46.2,46.2,1.6,1,18,1.255272505,MR,SMR,7,30,6.17,0.52,,,,,,,,19.05,1.2,,,,,,,,,,,,"Claireaux et al 2006 JEB 209, 3420-3429",Ratio
Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,labrax,Dicentrarchus labrax,0.147000000,147.000000000,2.167317335,in situ,"Claireaux et al 2006 JEB 209, 3420-3428",m,c,j,"Ile de Re, France",46.2,46.2,1.6,1,18,1.255272505,swim,sustained,7,30,0.67,0.01,,,,,,,,1.12,0.04,,,,,,,,,,units in m/s,,"Claireaux et al 2006 JEB 209, 3420-3430",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,atripectoralis,Chromis atripectoralis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,9.75,0.975,5,,,,,,,9.06,0.906,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2979",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,tematensis,Chromis tematensis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,7.07,0.707,5,,,,,,,6.28,0.628,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2980",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,aruanus,Dascyllus aruanus,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,7.77,0.777,5,,,,,,,7.23,0.723,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2981",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,reticulatus,Dascyllus reticulatus,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,9.35,0.935,5,,,,,,,6.74,0.674,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2982",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,azysron,Neopomacentrus azysron,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,6.12,0.612,5,,,,,,,6.71,0.671,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2983",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,bankieri,Neopomacentrus bankieri,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,7.65,0.765,5,,,,,,,6.85,0.685,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2984",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,cyanomos,Neopomacentrus cyanomos,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,6.59,0.659,5,,,,,,,5.02,0.502,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2985",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,coelestis,Pomacentrus coelestis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,9.12,0.912,5,,,,,,,6.46,0.646,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2986",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus lepidogenys,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,5.34,0.534,5,,,,,,,4.2,0.42,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2987",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,moluccensis,Pomacentrus moluccensis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,swim,sustained,29,32,5.64,0.564,5,,,,,,,5.52,0.552,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2988",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,atripectoralis,Chromis atripectoralis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,63.15025,9.4725375,5,,,,,,,75.342625,11.30139375,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2989",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,atripectoralis,Chromis atripectoralis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,9.066125,0.72529,5,,,,,,,9.691375,0.77531,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2989",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,tematensis,Chromis tematensis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,46.581125,6.98716875,5,,,,,,,45.018,6.7527,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2990",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,tematensis,Chromis tematensis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,5.62725,0.45018,5,,,,,,,6.87775,0.55022,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2990",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,aruanus,Dascyllus aruanus,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,52.833625,7.92504375,5,,,,,,,58.14825,8.7222375,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2991",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,aruanus,Dascyllus aruanus,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,6.87775,0.55022,5,,,,,,,8.12825,0.65026,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2991",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,reticulatus,Dascyllus reticulatus,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,65.338625,9.80079375,5,,,,,,,37.202375,5.58035625,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2992",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus,reticulatus,Dascyllus reticulatus,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,7.815625,0.62525,5,,,,,,,7.815625,0.62525,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2992",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,azysron,Neopomacentrus azysron,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,41.2665,6.189975,5,,,,,,,33.7635,5.064525,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2993",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,azysron,Neopomacentrus azysron,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,7.815625,0.62525,5,,,,,,,7.815625,0.62525,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2993",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,bankieri,Neopomacentrus bankieri,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,52.208375,7.83125625,5,,,,,,,57.523,8.62845,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2994",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,bankieri,Neopomacentrus bankieri,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,6.87775,0.55022,5,,,,,,,8.440875,0.67527,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2994",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,cyanomos,Neopomacentrus cyanomos,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,39.078125,5.86171875,5,,,,,,,29.699375,4.45490625,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2995",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Neopomacentrus,cyanomos,Neopomacentrus cyanomos,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,4.689375,0.37515,5,,,,,,,8.12825,0.65026,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2995",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,coelestis,Pomacentrus coelestis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,70.965875,10.64488125,5,,,,,,,66.2765,9.941475,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2996",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,coelestis,Pomacentrus coelestis,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,rest,29,32,8.12825,0.65026,5,,,,,,,11.567125,0.92537,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2996",Ratio
Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,lepidogenys,Pomacentrus lepidogenys,0.001000000,1.000000000,0.000000000,in situ,http://www.jstor.org/stable/pdf/1540.pdf?_=1464889653980,m,w,a,"Lizard Island QLD, Australia",14.65,14.65,145.45,1,21,1.322219295,MR,max,29,32,22.821625,3.42324375,5,,,,,,,23.13425,3.4701375,5,,,,,,,,,,,"Johansen and Jones 2011 Global Change Biol 17, 2971-2997",Ratio
